id,jurisdiction,jurisdiction_code,country,regulation_name,authority,product_category,voc_limit_g_per_L,unit,effective_date,last_amended,source_url,scope,healthcare_context,zero_voc_threshold_g_per_L,low_voc_threshold_g_per_L,classification
11,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Disinfectant (Concentrate),15.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Diluted on-site for mop-and-bucket or autoscrubber use. Lower VOC per application than spray disinfectants due to dilution.,5.0,50.0,Low VOC
12,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Sanitizer (Food Contact),20.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Required in healthcare dietary departments. Must meet Health Canada or EPA requirements for no-rinse food contact surface sanitization.,5.0,50.0,Low VOC
13,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Air Freshener (Spray),30.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Discouraged in clinical areas due to patient sensitivity. May be used in administrative or public-facing non-clinical spaces only.,5.0,50.0,Low VOC
14,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Air Freshener (Liquid/Wick),6.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Lower emission rate than sprays. Some healthcare facilities prohibit all air fresheners in clinical zones per IPAC guidelines.,5.0,50.0,Low VOC
15,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Metal Polish/Cleanser,30.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Used on stainless steel fixtures, handrails, elevator doors. Healthcare-grade products should be non-abrasive and low-odour.",5.0,50.0,Low VOC
16,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Furniture Maintenance Product,17.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Used on waiting room, office, and common area furniture. Avoid silicone-based products on healthcare seating (interferes with infection control).",5.0,50.0,Low VOC
17,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Oven/Grill Cleaner,8.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Dietary department use only. Must be used with ventilation due to alkaline off-gassing. Low-VOC formulations reduce ventilation requirements.,5.0,50.0,Low VOC
18,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Laundry Detergent (Institutional),8.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,High-volume use in healthcare laundry. Must be compatible with thermal disinfection cycles (71°C / 160°F for 25 minutes).,5.0,50.0,Low VOC
19,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Fabric Softener (Institutional),6.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Used selectively — many healthcare laundry programs skip softener to maintain antimicrobial textile treatments.,5.0,50.0,Low VOC
20,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Spot Remover,25.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Used on carpeted areas and upholstered furniture. Must not leave residues that interfere with subsequent disinfection.,5.0,50.0,Low VOC
21,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Dust Suppressant,0.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Used in construction/renovation zones adjacent to active patient care. ICRA (Infection Control Risk Assessment) protocols apply.,5.0,50.0,Zero VOC
22,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Adhesive Remover,50.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Used for label/tape residue removal from equipment and surfaces. Low-VOC formulations required for use near patient care areas.,5.0,50.0,Low VOC
23,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Graffiti Remover,50.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Occasional use in emergency departments, psychiatric units, and exterior surfaces. High-VOC products require ventilation controls.",5.0,50.0,Low VOC
24,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Heavy-Duty Hand Cleaner,8.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Used by maintenance and dietary staff. Must be gentle enough for repeated use (healthcare workers wash hands 40-100 times per shift).,5.0,50.0,Low VOC
25,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Stainless Steel Cleaner,12.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Daily use on elevators, counters, fixtures. Healthcare facilities prefer non-aerosol formulations to reduce VOC emissions.",5.0,50.0,Low VOC
26,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),General Purpose Cleaner,4.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Primary workhorse for patient room turnover and common area maintenance. IPAC protocols require low-residue, low-VOC formulations.",5.0,50.0,Ultra-Low VOC
27,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),General Purpose Degreaser,25.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Used in healthcare kitchen and dietary services, mechanical rooms, and loading docks. Must meet OSHA PEL for enclosed-space use.",5.0,50.0,Low VOC
28,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Glass Cleaner,4.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"High-frequency use on interior glass partitions, patient room windows, and nurse station barriers. Low-VOC critical in ICU/NICU environments.",5.0,50.0,Ultra-Low VOC
29,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Bathroom and Tile Cleaner,5.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Daily use in patient, staff, and public washrooms. Healthcare facilities require products effective against nosocomial pathogens while meeting VOC limits.",5.0,50.0,Ultra-Low VOC
30,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Toilet/Urinal Care Product,3.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Daily maintenance in all facility washrooms. Acid-based products must also meet corrosion standards for plumbing in healthcare settings.,5.0,50.0,Ultra-Low VOC
31,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Floor Wax Stripper,0.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Periodic use (semi-annual to annual) in corridors and common areas. Zero-VOC formulations preferred due to off-gassing during application.,5.0,50.0,Zero VOC
32,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Floor Finish / Polish,3.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Applied after stripping. Must cure to a slip-resistant finish meeting ASTM D2047 (coefficient of friction >= 0.5) in healthcare corridors.,5.0,50.0,Ultra-Low VOC
33,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Carpet Cleaner (Extraction),3.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Used in administrative areas, waiting rooms, and some long-term care patient rooms. Hot water extraction preferred for allergen removal.",5.0,50.0,Ultra-Low VOC
34,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Carpet Cleaner (Encapsulation),5.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Low-moisture alternative for areas that cannot tolerate extended drying times. Lower VOC profile than extraction chemistry.,5.0,50.0,Ultra-Low VOC
35,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Disinfectant (Spray),35.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Critical for surface disinfection in patient care areas. Must be effective against C. difficile, MRSA, and VRE while meeting VOC thresholds.",5.0,50.0,Low VOC
36,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Disinfectant (Concentrate),8.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Diluted on-site for mop-and-bucket or autoscrubber use. Lower VOC per application than spray disinfectants due to dilution.,5.0,50.0,Low VOC
37,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Sanitizer (Food Contact),10.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Required in healthcare dietary departments. Must meet Health Canada or EPA requirements for no-rinse food contact surface sanitization.,5.0,50.0,Low VOC
38,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Air Freshener (Spray),15.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Discouraged in clinical areas due to patient sensitivity. May be used in administrative or public-facing non-clinical spaces only.,5.0,50.0,Low VOC
39,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Air Freshener (Liquid/Wick),3.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Lower emission rate than sprays. Some healthcare facilities prohibit all air fresheners in clinical zones per IPAC guidelines.,5.0,50.0,Ultra-Low VOC
40,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Metal Polish/Cleanser,15.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Used on stainless steel fixtures, handrails, elevator doors. Healthcare-grade products should be non-abrasive and low-odour.",5.0,50.0,Low VOC
41,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Furniture Maintenance Product,7.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Used on waiting room, office, and common area furniture. Avoid silicone-based products on healthcare seating (interferes with infection control).",5.0,50.0,Low VOC
42,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Oven/Grill Cleaner,3.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Dietary department use only. Must be used with ventilation due to alkaline off-gassing. Low-VOC formulations reduce ventilation requirements.,5.0,50.0,Ultra-Low VOC
43,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Laundry Detergent (Institutional),3.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,High-volume use in healthcare laundry. Must be compatible with thermal disinfection cycles (71°C / 160°F for 25 minutes).,5.0,50.0,Ultra-Low VOC
44,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Fabric Softener (Institutional),2.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Used selectively — many healthcare laundry programs skip softener to maintain antimicrobial textile treatments.,5.0,50.0,Ultra-Low VOC
45,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Spot Remover,10.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Used on carpeted areas and upholstered furniture. Must not leave residues that interfere with subsequent disinfection.,5.0,50.0,Low VOC
46,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Dust Suppressant,0.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Used in construction/renovation zones adjacent to active patient care. ICRA (Infection Control Risk Assessment) protocols apply.,5.0,50.0,Zero VOC
47,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Adhesive Remover,20.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Used for label/tape residue removal from equipment and surfaces. Low-VOC formulations required for use near patient care areas.,5.0,50.0,Low VOC
48,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Graffiti Remover,30.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Occasional use in emergency departments, psychiatric units, and exterior surfaces. High-VOC products require ventilation controls.",5.0,50.0,Low VOC
49,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Heavy-Duty Hand Cleaner,5.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,Used by maintenance and dietary staff. Must be gentle enough for repeated use (healthcare workers wash hands 40-100 times per shift).,5.0,50.0,Ultra-Low VOC
50,California,US-CA,United States,CARB Consumer Products Regulations — Title 17 CCR §94507-94517,California Air Resources Board (CARB),Stainless Steel Cleaner,5.0,g/L as applied,1990-01-01,2023-01-01,https://ww2.arb.ca.gov/our-work/programs/consumer-products-program/about,Consumer and institutional products sold in California,"Daily use on elevators, counters, fixtures. Healthcare facilities prefer non-aerosol formulations to reduce VOC emissions.",5.0,50.0,Ultra-Low VOC
51,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,General Purpose Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Primary workhorse for patient room turnover and common area maintenance. IPAC protocols require low-residue, low-VOC formulations.",5.0,50.0,Low VOC
52,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,General Purpose Degreaser,40.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used in healthcare kitchen and dietary services, mechanical rooms, and loading docks. Must meet OSHA PEL for enclosed-space use.",5.0,50.0,Low VOC
53,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Glass Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"High-frequency use on interior glass partitions, patient room windows, and nurse station barriers. Low-VOC critical in ICU/NICU environments.",5.0,50.0,Low VOC
54,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Bathroom and Tile Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Daily use in patient, staff, and public washrooms. Healthcare facilities require products effective against nosocomial pathogens while meeting VOC limits.",5.0,50.0,Low VOC
55,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Toilet/Urinal Care Product,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Daily maintenance in all facility washrooms. Acid-based products must also meet corrosion standards for plumbing in healthcare settings.,5.0,50.0,Ultra-Low VOC
56,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Floor Wax Stripper,0.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Periodic use (semi-annual to annual) in corridors and common areas. Zero-VOC formulations preferred due to off-gassing during application.,5.0,50.0,Zero VOC
57,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Floor Finish / Polish,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Applied after stripping. Must cure to a slip-resistant finish meeting ASTM D2047 (coefficient of friction >= 0.5) in healthcare corridors.,5.0,50.0,Ultra-Low VOC
58,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Carpet Cleaner (Extraction),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used in administrative areas, waiting rooms, and some long-term care patient rooms. Hot water extraction preferred for allergen removal.",5.0,50.0,Ultra-Low VOC
59,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Carpet Cleaner (Encapsulation),7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Low-moisture alternative for areas that cannot tolerate extended drying times. Lower VOC profile than extraction chemistry.,5.0,50.0,Low VOC
60,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Disinfectant (Spray),45.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Critical for surface disinfection in patient care areas. Must be effective against C. difficile, MRSA, and VRE while meeting VOC thresholds.",5.0,50.0,Low VOC
61,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Disinfectant (Concentrate),10.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Diluted on-site for mop-and-bucket or autoscrubber use. Lower VOC per application than spray disinfectants due to dilution.,5.0,50.0,Low VOC
62,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Sanitizer (Food Contact),15.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Required in healthcare dietary departments. Must meet Health Canada or EPA requirements for no-rinse food contact surface sanitization.,5.0,50.0,Low VOC
63,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Air Freshener (Spray),20.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Discouraged in clinical areas due to patient sensitivity. May be used in administrative or public-facing non-clinical spaces only.,5.0,50.0,Low VOC
64,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Air Freshener (Liquid/Wick),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Lower emission rate than sprays. Some healthcare facilities prohibit all air fresheners in clinical zones per IPAC guidelines.,5.0,50.0,Ultra-Low VOC
65,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Metal Polish/Cleanser,25.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used on stainless steel fixtures, handrails, elevator doors. Healthcare-grade products should be non-abrasive and low-odour.",5.0,50.0,Low VOC
66,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Furniture Maintenance Product,12.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used on waiting room, office, and common area furniture. Avoid silicone-based products on healthcare seating (interferes with infection control).",5.0,50.0,Low VOC
67,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Oven/Grill Cleaner,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Dietary department use only. Must be used with ventilation due to alkaline off-gassing. Low-VOC formulations reduce ventilation requirements.,5.0,50.0,Ultra-Low VOC
68,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Laundry Detergent (Institutional),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,High-volume use in healthcare laundry. Must be compatible with thermal disinfection cycles (71°C / 160°F for 25 minutes).,5.0,50.0,Ultra-Low VOC
69,Connecticut,US-CT,United States,OTC Model Rule — Connecticut Consumer Products VOC Regulations,Connecticut Department of Environmental Protection / OTC,Fabric Softener (Institutional),4.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used selectively — many healthcare laundry programs skip softener to maintain antimicrobial textile treatments.,5.0,50.0,Ultra-Low VOC
